strain	date	country	state	division	location	host	host_categories	clade_membership	strains	lineages	accessions	organization	DataSource	authors	journal	title	url	latitude	longitude	parent_id	parsimony	usher_annotation	autolin_proposal	lineage_name	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Level_7	Level_8
HQ705671	?	Unknown	Unknown	Unknown	Global	Culex quinquefasciatus	Mosquitoes-Culex	Ia	?	I.a.4-NY99	HQ705671.1	Broad Institute of MIT and Harvard	NCBI_Global	Henn et al	"Submitted (13-DEC-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ705671	Unknown	Unknown	node_801	0	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
OQ721721	2008-08-11	USA	CA	CA/CA	USA	Corvus brachyrhynchos	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721721.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721721	36.778259	-119.417931	node_3465	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99.WN02.2.3.1
OQ721782	2017-07-18	USA	CA	CA/CA	USA	Culex pipiens	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721782.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721782	36.778259	-119.417931	node_3784	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1
KX547214	2009-09-10	USA	NY	NY/Chautauqua	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KX547214	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547214	42.209869	-79.470428	node_1505	9	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.6	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.6	I.a.4-NY99.WN02.6	I.a.4-NY99.WN02.6	I.a.4-NY99.WN02.6	I.a.4-NY99.WN02.6	I.a.4-NY99.WN02.6
MH166903	2000-XX-XX	USA	VA	VA/Virginia	USA	Aves	Birds	Ia	NY99	I.a.4-NY99	MH166903.1	University of Texas Medical Branch Microbiology and Immunology	NS_NA_NCBI	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	"Terrestrial Bird Migration and West Nile Virus Circulation, United States"	https://www.ncbi.nlm.nih.gov/nuccore/MH166903	37.1232245	-78.492772	node_4542	12	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
OQ721393	2007-07-24	USA	CA	CA/CA	USA	Unknown	Unknown	?	?	I.a.4-NY99	OQ721393.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721393	36.778259	-119.417931	node_4153	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.8.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.8	I.a.4-NY99.WN02.2.8.1	I.a.4-NY99.WN02.2.8.1.1	I.a.4-NY99.WN02.2.8.1.1	I.a.4-NY99.WN02.2.8.1.1
KJ145825	2009-XX-XX	USA	USA	USA/USA	Unknown	Corvus brachyrhynchos	Birds-Perching Birds	?	?	I.a.4-NY99	KJ145825.1	Broad Institute of MIT & Harvard	NCBI_Global	Newman et al	"Submitted (06-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ145825	37.0902	-95.7129	node_3025	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.13.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.13	I.a.4-NY99.WN02.13.1	I.a.4-NY99.WN02.13.1	I.a.4-NY99.WN02.13.1	I.a.4-NY99.WN02.13.1	I.a.4-NY99.WN02.13.1
W1400	2002-08-07	USA	MN	MN/Pope	USA	Unknown	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	W1400_2002-08-07_USA_MN_Pope_x_x	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	45.5472257	-95.4363717	node_3256	6	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.1.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1.1	I.a.4-NY99.WN02.4.1.1.1	I.a.4-NY99.WN02.4.1.1.1	I.a.4-NY99.WN02.4.1.1.1
KJ501155	2008-XX-XX	USA	USA	USA/USA	Unknown	Culex quinquefasciatus	Mosquitoes-Culex	?	?	I.a.4-NY99	KJ501155.1	Broad Institute of MIT & Harvard	NCBI_Global	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501155	37.0902	-95.7129	node_2684	2	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
HM488170	2008-XX-XX	USA	CT	CT/Fairfield	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	HM488170	Broad Institute of MIT and Harvard	NS_NA_NCBI	Armstrong et al	"Virology 417 (1), 203-210 (2011)"	"Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008"	https://www.ncbi.nlm.nih.gov/pubmed/21723580	41.1408363	-73.2612615	node_1391	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.19	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19
JF899536	?	Unknown	Unknown	Unknown	Global	Mus musculus	Mammals-Rodents	Ia	?	I.a.4-NY99	JF899536.1	Broad Institute of MIT and Harvard	NCBI_Global	Henn et al	"Submitted (21-APR-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF899536	Unknown	Unknown	node_821	1	I.a.4-NY99	New	I.a.4-NY99.1.1	I.a.4-NY99	I.a.4-NY99.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1
OM202929	2018-XX-XX	USA	USA	USA/USA	Unknown	Homo sapiens	Mammals-Human	?	?	I.a.4-NY99	OM202929.1	US Food and Drug Administration Center for Devices and Radiological Health	NCBI_Global	Rios et al	Unpublished	FDA dAtabase for Regulatory Grade micrObial Sequences (FDA-ARGOS): Supporting development and validation of Infectious Disease Dx tests	https://www.ncbi.nlm.nih.gov/nuccore/OM202929	37.0902	-95.7129	node_2061	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.2	I.a.4-NY99.WN02.1.4.2.1	I.a.4-NY99.WN02.1.4.2.1	I.a.4-NY99.WN02.1.4.2.1
OQ721130	2012-08-24	USA	CA	CA/CA	USA	Culex pipiens	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721130.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721130	36.778259	-119.417931	node_3723	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1
MT968020	2013-XX-XX	USA	USA	USA/USA	Unknown	Culicidae	Mosquitoes	?	?	I.a.4-NY99	MT968020.1	Wadsworth Center Division of Infectious Diseases	NCBI_Global	Caldwell et al	"Genes (Basel) 11 (11), E1299 (2020)"	Divergent Mutational Landscapes of Consensus and Minority Genotypes of West Nile Virus Demonstrate Host and Gene-Specific Evolutionary Pressures	https://www.ncbi.nlm.nih.gov/pubmed/33143358	37.0902	-95.7129	node_2282	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1
OQ721651	2005-07-24	USA	CA	CA/CA	USA	Unknown	Unknown	?	?	I.a.4-NY99	OQ721651.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721651	36.778259	-119.417931	node_3678	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.5	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.5	I.a.4-NY99.WN02.2.5	I.a.4-NY99.WN02.2.5	I.a.4-NY99.WN02.2.5	I.a.4-NY99.WN02.2.5
KT757320	2013-XX-XX	SRB	Unknown	SRB	Global	Culex pipiens	Mosquitoes-Culex	?	?	II	KT757320.1	University of Pecs Szentagothai Research Centre	NCBI_Global	Kemenesi et al	Unpublished	"Genetic characterization of West Nile virus lineage 2 strains from Serbia, 2013: first evidence of NS3249P mutation in the Balkanian Peninsula"	https://www.ncbi.nlm.nih.gov/nuccore/KT757320	44.016521	21.005859	node_511	3	II	New	II.1.3.2	I.a	I.a.4-NY99	II	II.1	II.1.3	II.1.3.2	II.1.3.2	II.1.3.2
W493	2017-06-28	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W493	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_4087	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.2.1.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.2	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99.WN02.2.2.1.3	I.a.4-NY99.WN02.2.2.1.3	I.a.4-NY99.WN02.2.2.1.3
KJ501481	2002-XX-XX	USA	MI	MI/MI	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KJ501481|2002|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501481	44.182205	-84.506836	node_4265	5	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
OQ721133	2016-07-03	USA	IA	IA/IA	USA	Culex pipiens	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721133.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721133	42.032974	-93.581543	node_2245	3	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1.1	I.a.4-NY99.WN02.3.1.1.1	I.a.4-NY99.WN02.3.1.1.1	I.a.4-NY99.WN02.3.1.1.1
OQ721707	2018-08-22	USA	LA	LA/LA	USA	Culex quinquefasciatus	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721707.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721707	30.8703881	-92.0071259	node_1602	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.9.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.9	I.a.4-NY99.WN02.9.1	I.a.4-NY99.WN02.9.1	I.a.4-NY99.WN02.9.1	I.a.4-NY99.WN02.9.1	I.a.4-NY99.WN02.9.1
OX442289	2020-08-23	DEU	Unknown	DEU	Global	Accipiter gentilis	Birds-Hawks and Eagles	?	?	II	OX442289.1	Friedrich-Loeffler-Institute Federal Research Institute for Animal Health Institute of Diagnostic Virology Suedufer 10 Greifswald - Insel Riems Mecklenburg - Western Pomerania 17493	NCBI_Global	et al	"Submitted (01-MAR-2023) Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493, Germany"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/OX442289	51.165691	10.451526	node_242	6	II	New	II.1.1.1.1.1	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1.1	II.1.1.1.1	II.1.1.1.1.1
KM012179	2012-XX-XX	USA	SD	SD/SD	USA	Homo sapiens	Mammals-Human	Ia	WN02	I.a.4-NY99.WN02	KM012179|2012|USA|	CBER/FDA	NS_NA_NCBI	Grinev et al	"PLoS Negl Trop Dis 10 (5), E0004717 (2016)"	Genetic Variability of West Nile Virus in U.S. Blood Donors from the 2012 Epidemic Season	https://www.ncbi.nlm.nih.gov/pubmed/27182734	44.6471761	-100.3487609	node_1741	18	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1
OM202909	2017-XX-XX	USA	USA	USA/USA	Unknown	Homo sapiens	Mammals-Human	?	?	I.a.4-NY99	OM202909.1	US Food and Drug Administration Center for Devices and Radiological Health	NCBI_Global	Rios et al	Unpublished	FDA dAtabase for Regulatory Grade micrObial Sequences (FDA-ARGOS): Supporting development and validation of Infectious Disease Dx tests	https://www.ncbi.nlm.nih.gov/nuccore/OM202909	37.0902	-95.7129	node_1994	12	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.1	I.a.4-NY99.WN02.1.4.1	I.a.4-NY99.WN02.1.4.1	I.a.4-NY99.WN02.1.4.1
ON032488	2020-09-07	ITA	Piedmont	Piedmont/Piedmont	Global	Corvus cornix	Birds-Perching Birds	?	?	II	ON032488.1	Istituto Zooprofilattico Sperimentale Abruzzo e Molise Virology Unit	NCBI_Global	Mencattelli et al	"Submitted (17-MAR-2022) Virology Unit, Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Campo Boario, Teramo, IT 64100, Italy"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/ON032488	41.87194	12.56738	node_333	9	II	New	II.1.1.2.2	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1.2	II.1.1.2.2	II.1.1.2.2
W786	2004-08-26	USA	CA	CA/CA	USA	Unknown	Birds-Other	Ia	WN02	I.a.4-NY99.WN02	W786	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_3628	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.10	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.10	I.a.4-NY99.WN02.2.10	I.a.4-NY99.WN02.2.10	I.a.4-NY99.WN02.2.10	I.a.4-NY99.WN02.2.10
WNV0000197	2023-08-15	USA	NYC	NYC/Bay Terrace	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	WNV0000197-NYC-VH00422-231206	NYC_PHL	NYC_PHL	NYC-PHL	Unpublished	NYC PHL West Nile Virus Sequencing Project	https://www.nyc.gov/site/doh/index.page	40.78204583	-73.78079374	node_1983	5	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.1.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.1	I.a.4-NY99.WN02.1.4.1.1	I.a.4-NY99.WN02.1.4.1.1.1	I.a.4-NY99.WN02.1.4.1.1.1
WNV0000217	2023-08-17	USA	NYC	NYC/Oakland Gardens	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	WNV0000217-NYC-VH00422-231206	NYC_PHL	NYC_PHL	NYC-PHL	Unpublished	NYC PHL West Nile Virus Sequencing Project	https://www.nyc.gov/site/doh/index.page	40.74528081	-73.76057669	node_2324	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1.2	I.a.4-NY99.WN02.3.1.2.1	I.a.4-NY99.WN02.3.1.2.1	I.a.4-NY99.WN02.3.1.2.1
W1530	2018-07-12	USA	IL	IL/Cook	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1530_2018-07-12_USA_IL_Cook_41.797_-87.737	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	41.7376587	-87.697554	node_2028	33	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.6	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.6	I.a.4-NY99.WN02.1.4.6	I.a.4-NY99.WN02.1.4.6	I.a.4-NY99.WN02.1.4.6
AY532665	?	Unknown	Unknown	Unknown	Global	Unknown	Unknown	II	?	II	AY532665.1	University of Kansas Molecular Biosciences	NCBI_Global	Yamshchikov et al	"Virology 330 (1), 304-312 (2004)"	An attenuated West Nile prototype virus is highly immunogenic and protects against the deadly NY99 strain: a candidate for live WN vaccine development	https://www.ncbi.nlm.nih.gov/pubmed/15527855	Unknown	Unknown	node_107	9	II		II	I.a	I.a.4-NY99	II	II	II	II	II	II
OP609806	2022-07-29	ITA	Unknown	ITA	Global	Egretta garzetta	Birds-Wading Birds	?	?	I.a	OP609806.1	Istituto Zooprofilattico Sperimentale delle Venezie Division of Comparative Biomedical Science	NCBI_Global	Barzon et al	J Travel Med (2022) In press	"Rapid spread of a new West Nile virus lineage 1 associated with increased risk of neuroinvasive disease during a large outbreak in northern Italy, 2022: One Health analysis"	https://www.ncbi.nlm.nih.gov/pubmed/36331269	41.87194	12.56738	node_734	2	I.a.2		I.a.4-NY99	I.a	I.a.2	I.a.2.1	I.a.2.1.1	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
JX503084	?	USA	USA	USA/USA	Unknown	Unknown	Unknown	Ia	?	I.a.4-NY99	JX503084.1	Broad Institute of MIT and Harvard	NCBI_Global	Malboeuf et al	"Nucleic Acids Res. 41 (1), E13 (2013)"	Complete viral RNA genome sequencing of ultra-low copy samples by sequence-independent amplification	https://www.ncbi.nlm.nih.gov/pubmed/22962364	37.0902	-95.7129	node_784	0	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
HQ671714	2001-XX-XX	USA	CT	CT/CT	USA	Culex salinarius	Mosquitoes-Culex	Ia	NY99	I.a.4-NY99	HQ671714|2001|USA|	Broad Institute of MIT and Harvard	NS_NA_NCBI	Henn et al	"Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671714	41.599998	-72.699997	node_4546	0	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
KY782113	2007-07-07	USA	IL	IL/Illinois	USA	Culex	Mosquitoes-Culex	?	?	I.a.4-NY99	KY782113.1	University of Wisconsin-Madison Pathobiological Sciences	NCBI_Global	Goldberg et al	Unpublished	Evolution of West Nile virus within and between hosts and vectors demonstrates selective constraint but adaptive capacity in the Flaviviridae	https://www.ncbi.nlm.nih.gov/nuccore/KY782113	40.0796319	-89.4339808	node_3094	21	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.2	I.a.4-NY99.WN02.4.2.1	I.a.4-NY99.WN02.4.2.1	I.a.4-NY99.WN02.4.2.1	I.a.4-NY99.WN02.4.2.1
HM488201	2007-XX-XX	USA	NY	NY/NY	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	SW03	I.a.4-NY99.WN02.SW03	HM488201|2007|USA|	Broad Institute of MIT and Harvard	NS_NA_NCBI	Henn et al	"Submitted (12-MAY-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488201	40.7127	-74.0059	node_2989	0	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
HM488251	2003-XX-XX	USA	NY	NY/NY	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	HM488251|2003|USA|	Broad Institute of MIT and Harvard	NS_NA_NCBI	Henn et al	"Submitted (04-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488251	40.7127	-74.0059	node_3081	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.2	I.a.4-NY99.WN02.4.2	I.a.4-NY99.WN02.4.2	I.a.4-NY99.WN02.4.2	I.a.4-NY99.WN02.4.2
OQ721355	2012-06-15	USA	CA	CA/CA	USA	Unknown	Unknown	?	?	I.a.4-NY99	OQ721355.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721355	36.778259	-119.417931	node_4067	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.2.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.2	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99.WN02.2.2.1.1	I.a.4-NY99.WN02.2.2.1.1	I.a.4-NY99.WN02.2.2.1.1
W164	2017-06-23	USA	CA	CA/Los-Angeles	USA	Unknown	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	W1647_2018-08-16_USA_IL_Cook_41.965_-87.757	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	34.0549076	-118.242643	node_3414	14	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.4	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.4	I.a.4-NY99.WN02.2.4	I.a.4-NY99.WN02.2.4	I.a.4-NY99.WN02.2.4	I.a.4-NY99.WN02.2.4
KC736501	2012-XX-XX	USA	TX	TX/Dallas	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KC736501	Centers for Disease Control and Prevention Division of Vector-Borne Diseases	NS_NA_NCBI	Duggal et al	"Am. J. Trop. Med. Hyg. 89 (2), 205-210 (2013)"	Sequence Analyses of 2012 West Nile Virus Isolates from Texas Fail to Associate Viral Genetic Factors with Outbreak Magnitude	https://www.ncbi.nlm.nih.gov/pubmed/23817333	31.8160381	-99.5120985	node_2391	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.2	I.a.4-NY99.WN02.3.2.1	I.a.4-NY99.WN02.3.2.1	I.a.4-NY99.WN02.3.2.1	I.a.4-NY99.WN02.3.2.1
W653	2007-07-31	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W653	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_3974	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.9	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.9	I.a.4-NY99.WN02.2.9	I.a.4-NY99.WN02.2.9	I.a.4-NY99.WN02.2.9	I.a.4-NY99.WN02.2.9
